metadata,start_timestamp,lat,lon,count,count_conditioned,count_libraries,count_ttc,count_washrooms,count_wifi,count_foodbanks,count_medical_mental_health_and_addiction_organization,count_medical_pharmacy,count_medical_licensed_lab_and_specimen_collection_centre,count_medical_integrated_community_health_services_centre,count_medical_community_support_service,count_medical_community_health_centre,count_medical_family_health_team,count_medical_long-term_care_home,count_medical_hiv_aids_and_hep_c_program,count_medical_hospital,count_medical_licensed_retirement_home,count_medical_seniors_active_living_centre,count_medical_midwifery_clinic,count_medical_children's_treatment_centre,count_medical_public_health_unit_office,count_medical_indigenous_primary_health_care_organization,count_medical_nurse_practitioner-led_clinic,month_dt
Rosedale Ravine Lands,Feb-21,43.67272549,-79.37625428,15,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2021-02-01
Sonya's Park,Feb-21,43.65602246,-79.40202754,0,194,19,1077,69,35,11,111,254,34,44,38,14,11,16,45,16,10,22,5,0,1,1,0,2021-02-01
Tommy Thompson Park,Feb-21,43.6512055,-79.32159,0,103,10,466,52,19,7,29,68,6,8,12,6,2,3,8,1,2,9,2,0,0,0,0,2021-02-01
Trinity Bellwoods Park,Feb-21,43.64592207,-79.41417386,53,173,16,918,66,28,8,102,211,31,38,32,13,11,16,36,16,7,20,3,0,1,1,0,2021-02-01
Trinity Square,Feb-21,43.65472242,-79.38160967,2,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2021-02-01
Alexandra Park,Mar-21,43.65114655,-79.40510438,57,187,17,1042,67,33,11,112,246,35,44,38,14,12,16,46,16,10,22,5,0,1,1,0,2021-03-01
Allan Gardens,Mar-21,43.66093307,-79.3735941,12,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2021-03-01
Bellevue Square Park,Mar-21,43.65371478,-79.40192832,0,192,18,1055,71,34,11,111,251,33,44,38,14,11,17,45,16,10,22,5,0,1,1,0,2021-03-01
Caledonia Park,Mar-21,43.71337581,-79.46549418,2,56,9,782,21,26,0,5,64,6,1,11,6,0,3,3,2,5,5,1,0,0,0,1,2021-03-01
Cherry Beach Clarke Beach Park,Mar-21,43.63692099,-79.3443083,23,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2021-03-01
Clarence Square Park,Mar-21,43.64418139,-79.39371522,4,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2021-03-01
Dufferin Grove Park,Mar-21,43.65699352,-79.4336308,0,193,19,1053,75,33,7,72,189,27,35,19,11,9,14,14,13,9,18,3,0,0,1,0,2021-03-01
G. Ross Lord Park,Mar-21,43.78030615,-79.46585598,2,22,1,449,13,7,0,1,14,3,0,3,1,0,0,0,0,6,2,1,0,0,0,0,2021-03-01
Garrison Common,Mar-21,43.63806493,-79.40717673,1,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2021-03-01
Grange Park,Mar-21,43.65261301,-79.39221132,3,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2021-03-01
Kings Mill Park,Mar-21,43.65135346,-79.49062927,2,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2021-03-01
Lakeshore Boulevard Parklands,Mar-21,43.63395209,-79.43869438,7,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2021-03-01
Lamport Stadium Park,Mar-21,43.63977468,-79.42245532,33,138,12,766,69,21,6,69,162,28,33,18,10,9,10,19,13,5,11,3,0,1,0,0,2021-03-01
Lower Don Parklands,Mar-21,43.69741478,-79.35386848,7,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2021-03-01
Morningside Park,Mar-21,43.78090037,-79.19730417,3,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2021-03-01
Moss Park,Mar-21,43.65558614,-79.37043073,17,153,16,904,70,31,11,96,211,34,47,38,12,9,10,44,14,5,19,4,0,1,0,0,2021-03-01
Nordheimer Ravine,Mar-21,43.68179447,-79.4101068,7,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2021-03-01
Orphan's Green,Mar-21,43.65465987,-79.3627258,2,148,15,849,66,30,11,93,204,30,44,38,14,8,9,43,14,5,23,4,0,1,0,0,2021-03-01
Parkdale Ampitheatre,Mar-21,43.64235304,-79.42916125,6,154,16,784,72,25,5,63,148,21,25,16,11,6,11,14,12,6,12,3,0,0,0,0,2021-03-01
Randy Padmore Park,Mar-21,43.6497993,-79.40084238,0,185,17,966,67,33,10,110,234,32,41,37,13,10,16,45,15,9,21,5,0,1,1,0,2021-03-01
Rosedale Ravine Lands,Mar-21,43.67272549,-79.37625428,18,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2021-03-01
Sonya's Park,Mar-21,43.65602246,-79.40202754,1,194,19,1077,69,35,11,111,254,34,44,38,14,11,16,45,16,10,22,5,0,1,1,0,2021-03-01
Tommy Thompson Park,Mar-21,43.6512055,-79.32159,1,103,10,466,52,19,7,29,68,6,8,12,6,2,3,8,1,2,9,2,0,0,0,0,2021-03-01
Trinity Bellwoods Park,Mar-21,43.64592207,-79.41417386,46,173,16,918,66,28,8,102,211,31,38,32,13,11,16,36,16,7,20,3,0,1,1,0,2021-03-01
Trinity Square,Mar-21,43.65472242,-79.38160967,2,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2021-03-01
Alexandra Park,Apr-21,43.65114655,-79.40510438,71,187,17,1042,67,33,11,112,246,35,44,38,14,12,16,46,16,10,22,5,0,1,1,0,2021-04-01
Allan Gardens,Apr-21,43.66093307,-79.3735941,13,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2021-04-01
Bellevue Square Park,Apr-21,43.65371478,-79.40192832,0,192,18,1055,71,34,11,111,251,33,44,38,14,11,17,45,16,10,22,5,0,1,1,0,2021-04-01
Caledonia Park,Apr-21,43.71337581,-79.46549418,1,56,9,782,21,26,0,5,64,6,1,11,6,0,3,3,2,5,5,1,0,0,0,1,2021-04-01
Cherry Beach Clarke Beach Park,Apr-21,43.63692099,-79.3443083,23,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2021-04-01
Clarence Square Park,Apr-21,43.64418139,-79.39371522,2,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2021-04-01
Dufferin Grove Park,Apr-21,43.65699352,-79.4336308,3,193,19,1053,75,33,7,72,189,27,35,19,11,9,14,14,13,9,18,3,0,0,1,0,2021-04-01
G. Ross Lord Park,Apr-21,43.78030615,-79.46585598,2,22,1,449,13,7,0,1,14,3,0,3,1,0,0,0,0,6,2,1,0,0,0,0,2021-04-01
Garrison Common,Apr-21,43.63806493,-79.40717673,1,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2021-04-01
Grange Park,Apr-21,43.65261301,-79.39221132,6,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2021-04-01
Kings Mill Park,Apr-21,43.65135346,-79.49062927,2,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2021-04-01
Lakeshore Boulevard Parklands,Apr-21,43.63395209,-79.43869438,7,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2021-04-01
Lamport Stadium Park,Apr-21,43.63977468,-79.42245532,34,138,12,766,69,21,6,69,162,28,33,18,10,9,10,19,13,5,11,3,0,1,0,0,2021-04-01
Lower Don Parklands,Apr-21,43.69741478,-79.35386848,7,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2021-04-01
Morningside Park,Apr-21,43.78090037,-79.19730417,3,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2021-04-01
Moss Park,Apr-21,43.65558614,-79.37043073,29,153,16,904,70,31,11,96,211,34,47,38,12,9,10,44,14,5,19,4,0,1,0,0,2021-04-01
Nordheimer Ravine,Apr-21,43.68179447,-79.4101068,6,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2021-04-01
Orphan's Green,Apr-21,43.65465987,-79.3627258,0,148,15,849,66,30,11,93,204,30,44,38,14,8,9,43,14,5,23,4,0,1,0,0,2021-04-01
Parkdale Ampitheatre,Apr-21,43.64235304,-79.42916125,5,154,16,784,72,25,5,63,148,21,25,16,11,6,11,14,12,6,12,3,0,0,0,0,2021-04-01
Randy Padmore Park,Apr-21,43.6497993,-79.40084238,0,185,17,966,67,33,10,110,234,32,41,37,13,10,16,45,15,9,21,5,0,1,1,0,2021-04-01
Rosedale Ravine Lands,Apr-21,43.67272549,-79.37625428,18,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2021-04-01
Sonya's Park,Apr-21,43.65602246,-79.40202754,1,194,19,1077,69,35,11,111,254,34,44,38,14,11,16,45,16,10,22,5,0,1,1,0,2021-04-01
Tommy Thompson Park,Apr-21,43.6512055,-79.32159,1,103,10,466,52,19,7,29,68,6,8,12,6,2,3,8,1,2,9,2,0,0,0,0,2021-04-01
Trinity Bellwoods Park,Apr-21,43.64592207,-79.41417386,53,173,16,918,66,28,8,102,211,31,38,32,13,11,16,36,16,7,20,3,0,1,1,0,2021-04-01
Trinity Square,Apr-21,43.65472242,-79.38160967,3,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2021-04-01
Alexandra Park,May-21,43.65114655,-79.40510438,100,187,17,1042,67,33,11,112,246,35,44,38,14,12,16,46,16,10,22,5,0,1,1,0,2021-05-01
Allan Gardens,May-21,43.66093307,-79.3735941,12,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2021-05-01
Bellevue Square Park,May-21,43.65371478,-79.40192832,0,192,18,1055,71,34,11,111,251,33,44,38,14,11,17,45,16,10,22,5,0,1,1,0,2021-05-01
Caledonia Park,May-21,43.71337581,-79.46549418,1,56,9,782,21,26,0,5,64,6,1,11,6,0,3,3,2,5,5,1,0,0,0,1,2021-05-01
Cherry Beach Clarke Beach Park,May-21,43.63692099,-79.3443083,24,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2021-05-01
Clarence Square Park,May-21,43.64418139,-79.39371522,3,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2021-05-01
Dufferin Grove Park,May-21,43.65699352,-79.4336308,5,193,19,1053,75,33,7,72,189,27,35,19,11,9,14,14,13,9,18,3,0,0,1,0,2021-05-01
G. Ross Lord Park,May-21,43.78030615,-79.46585598,2,22,1,449,13,7,0,1,14,3,0,3,1,0,0,0,0,6,2,1,0,0,0,0,2021-05-01
Garrison Common,May-21,43.63806493,-79.40717673,4,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2021-05-01
Grange Park,May-21,43.65261301,-79.39221132,7,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2021-05-01
Kings Mill Park,May-21,43.65135346,-79.49062927,2,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2021-05-01
Lakeshore Boulevard Parklands,May-21,43.63395209,-79.43869438,6,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2021-05-01
Lamport Stadium Park,May-21,43.63977468,-79.42245532,24,138,12,766,69,21,6,69,162,28,33,18,10,9,10,19,13,5,11,3,0,1,0,0,2021-05-01
Lower Don Parklands,May-21,43.69741478,-79.35386848,8,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2021-05-01
Morningside Park,May-21,43.78090037,-79.19730417,2,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2021-05-01
Moss Park,May-21,43.65558614,-79.37043073,31,153,16,904,70,31,11,96,211,34,47,38,12,9,10,44,14,5,19,4,0,1,0,0,2021-05-01
Nordheimer Ravine,May-21,43.68179447,-79.4101068,6,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2021-05-01
Orphan's Green,May-21,43.65465987,-79.3627258,0,148,15,849,66,30,11,93,204,30,44,38,14,8,9,43,14,5,23,4,0,1,0,0,2021-05-01
Parkdale Ampitheatre,May-21,43.64235304,-79.42916125,2,154,16,784,72,25,5,63,148,21,25,16,11,6,11,14,12,6,12,3,0,0,0,0,2021-05-01
Randy Padmore Park,May-21,43.6497993,-79.40084238,0,185,17,966,67,33,10,110,234,32,41,37,13,10,16,45,15,9,21,5,0,1,1,0,2021-05-01
Rosedale Ravine Lands,May-21,43.67272549,-79.37625428,14,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2021-05-01
Sonya's Park,May-21,43.65602246,-79.40202754,2,194,19,1077,69,35,11,111,254,34,44,38,14,11,16,45,16,10,22,5,0,1,1,0,2021-05-01
Tommy Thompson Park,May-21,43.6512055,-79.32159,1,103,10,466,52,19,7,29,68,6,8,12,6,2,3,8,1,2,9,2,0,0,0,0,2021-05-01
Trinity Bellwoods Park,May-21,43.64592207,-79.41417386,64,173,16,918,66,28,8,102,211,31,38,32,13,11,16,36,16,7,20,3,0,1,1,0,2021-05-01
Trinity Square,May-21,43.65472242,-79.38160967,7,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2021-05-01
Alexandra Park,Jun-21,43.65114655,-79.40510438,86,187,17,1042,67,33,11,112,246,35,44,38,14,12,16,46,16,10,22,5,0,1,1,0,2021-06-01
Allan Gardens,Jun-21,43.66093307,-79.3735941,12,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2021-06-01
Bellevue Square Park,Jun-21,43.65371478,-79.40192832,0,192,18,1055,71,34,11,111,251,33,44,38,14,11,17,45,16,10,22,5,0,1,1,0,2021-06-01
Caledonia Park,Jun-21,43.71337581,-79.46549418,1,56,9,782,21,26,0,5,64,6,1,11,6,0,3,3,2,5,5,1,0,0,0,1,2021-06-01
Cherry Beach Clarke Beach Park,Jun-21,43.63692099,-79.3443083,19,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2021-06-01
Clarence Square Park,Jun-21,43.64418139,-79.39371522,3,161,14,860,69,29,10,111,217,30,39,35,12,9,14,43,16,8,19,4,0,1,0,0,2021-06-01
Dufferin Grove Park,Jun-21,43.65699352,-79.4336308,9,193,19,1053,75,33,7,72,189,27,35,19,11,9,14,14,13,9,18,3,0,0,1,0,2021-06-01
G. Ross Lord Park,Jun-21,43.78030615,-79.46585598,2,22,1,449,13,7,0,1,14,3,0,3,1,0,0,0,0,6,2,1,0,0,0,0,2021-06-01
Garrison Common,Jun-21,43.63806493,-79.40717673,3,140,11,740,60,23,7,92,191,29,33,27,12,11,11,34,14,4,15,3,0,1,0,0,2021-06-01
Grange Park,Jun-21,43.65261301,-79.39221132,8,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2021-06-01
Kings Mill Park,Jun-21,43.65135346,-79.49062927,2,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2021-06-01
Lakeshore Boulevard Parklands,Jun-21,43.63395209,-79.43869438,6,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2021-06-01
Lamport Stadium Park,Jun-21,43.63977468,-79.42245532,20,138,12,766,69,21,6,69,162,28,33,18,10,9,10,19,13,5,11,3,0,1,0,0,2021-06-01
Lower Don Parklands,Jun-21,43.69741478,-79.35386848,10,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2021-06-01
Morningside Park,Jun-21,43.78090037,-79.19730417,2,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2021-06-01
Moss Park,Jun-21,43.65558614,-79.37043073,32,153,16,904,70,31,11,96,211,34,47,38,12,9,10,44,14,5,19,4,0,1,0,0,2021-06-01
Nordheimer Ravine,Jun-21,43.68179447,-79.4101068,6,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2021-06-01
Orphan's Green,Jun-21,43.65465987,-79.3627258,2,148,15,849,66,30,11,93,204,30,44,38,14,8,9,43,14,5,23,4,0,1,0,0,2021-06-01
Parkdale Ampitheatre,Jun-21,43.64235304,-79.42916125,2,154,16,784,72,25,5,63,148,21,25,16,11,6,11,14,12,6,12,3,0,0,0,0,2021-06-01
Randy Padmore Park,Jun-21,43.6497993,-79.40084238,2,185,17,966,67,33,10,110,234,32,41,37,13,10,16,45,15,9,21,5,0,1,1,0,2021-06-01
Rosedale Ravine Lands,Jun-21,43.67272549,-79.37625428,9,181,19,1134,68,37,13,97,247,36,57,45,13,9,13,44,14,11,23,5,0,1,1,0,2021-06-01
Sonya's Park,Jun-21,43.65602246,-79.40202754,2,194,19,1077,69,35,11,111,254,34,44,38,14,11,16,45,16,10,22,5,0,1,1,0,2021-06-01
Tommy Thompson Park,Jun-21,43.6512055,-79.32159,1,103,10,466,52,19,7,29,68,6,8,12,6,2,3,8,1,2,9,2,0,0,0,0,2021-06-01
Trinity Bellwoods Park,Jun-21,43.64592207,-79.41417386,48,173,16,918,66,28,8,102,211,31,38,32,13,11,16,36,16,7,20,3,0,1,1,0,2021-06-01
Trinity Square,Jun-21,43.65472242,-79.38160967,6,167,17,928,72,33,11,106,227,34,44,37,12,10,11,44,15,6,22,4,0,1,0,0,2021-06-01
Alexandra Park,Jul-21,43.65114655,-79.40510438,38,187,17,1042,67,33,11,112,246,35,44,38,14,12,16,46,16,10,22,5,0,1,1,0,2021-07-01
Allan Gardens,Jul-21,43.66093307,-79.3735941,16,176,18,1001,72,35,13,96,224,34,47,40,12,9,11,44,14,7,22,4,0,1,0,0,2021-07-01
Bellevue Square Park,Jul-21,43.65371478,-79.40192832,0,192,18,1055,71,34,11,111,251,33,44,38,14,11,17,45,16,10,22,5,0,1,1,0,2021-07-01
Caledonia Park,Jul-21,43.71337581,-79.46549418,1,56,9,782,21,26,0,5,64,6,1,11,6,0,3,3,2,5,5,1,0,0,0,1,2021-07-01
Cherry Beach Clarke Beach Park,Jul-21,43.63692099,-79.3443083,10,82,6,396,44,17,5,45,79,6,11,21,6,4,2,23,2,2,12,2,0,1,0,0,2021-07-01
