metadata,start_timestamp,lat,lon,count,count_conditioned,count_libraries,count_ttc,count_washrooms,count_wifi,count_foodbanks,count_medical_mental_health_and_addiction_organization,count_medical_pharmacy,count_medical_licensed_lab_and_specimen_collection_centre,count_medical_integrated_community_health_services_centre,count_medical_community_support_service,count_medical_community_health_centre,count_medical_family_health_team,count_medical_long-term_care_home,count_medical_hiv_aids_and_hep_c_program,count_medical_hospital,count_medical_licensed_retirement_home,count_medical_seniors_active_living_centre,count_medical_midwifery_clinic,count_medical_children's_treatment_centre,count_medical_public_health_unit_office,count_medical_indigenous_primary_health_care_organization,count_medical_nurse_practitioner-led_clinic,month_dt
Grange Park,Feb-21,43.65261301,-79.39221132,1,184,19,985,71,35,12,112,237,33,43,37,12,10,14,44,16,9,20,5,0,1,1,0,2021-02-01
Kings Mill Park,Feb-21,43.65135346,-79.49062927,3,85,10,846,54,20,6,6,64,5,7,6,7,2,2,2,2,1,10,1,0,0,0,0,2021-02-01
Lakeshore Boulevard Parklands,Feb-21,43.63395209,-79.43869438,7,122,11,600,61,19,5,39,109,11,12,6,9,5,8,8,5,4,10,3,0,0,0,0,2021-02-01
Lamport Stadium Park,Feb-21,43.63977468,-79.42245532,32,138,12,766,69,21,6,69,162,28,33,18,10,9,10,19,13,5,11,3,0,1,0,0,2021-02-01
Lower Don Parklands,Feb-21,43.69741478,-79.35386848,7,108,16,910,44,27,6,26,119,16,30,27,5,5,6,12,7,7,19,1,1,0,0,0,2021-02-01
Morningside Park,Feb-21,43.78090037,-79.19730417,3,35,6,517,16,11,1,0,6,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,2021-02-01
Moss Park,Feb-21,43.65558614,-79.37043073,22,153,16,904,70,31,11,96,211,34,47,38,12,9,10,44,14,5,19,4,0,1,0,0,2021-02-01
Nordheimer Ravine,Feb-21,43.68179447,-79.4101068,7,156,20,1085,58,29,10,71,221,30,53,33,12,7,13,33,12,13,25,3,0,1,1,0,2021-02-01
Orphan's Green,Feb-21,43.65465987,-79.3627258,7,148,15,849,66,30,11,93,204,30,44,38,14,8,9,43,14,5,23,4,0,1,0,0,2021-02-01
Parkdale Ampitheatre,Feb-21,43.64235304,-79.42916125,6,154,16,784,72,25,5,63,148,21,25,16,11,6,11,14,12,6,12,3,0,0,0,0,2021-02-01
Randy Padmore Park,Feb-21,43.6497993,-79.40084238,0,185,17,966,67,33,10,110,234,32,41,37,13,10,16,45,15,9,21,5,0,1,1,0,2021-02-01
