locationTypeCode,locationName,address,lat,lon
COOL_LOCN,Budapest Park,1575 LAKE SHORE BLVD,43.63680757,-79.44956381
COOL_LOCN,Parkway Forest Outdoor Pool,59 Forest Manor RD,43.772377,-79.344396
COOL_LOCN,Woburn Park - Scarborough,50 DORMINGTON DR,43.78142948,-79.22785942
COOL_LOCN,David Crombie Park,131 THE ESPLANADE,43.64853941,-79.36810383
COOL_LOCN,Marie Curtis Park,2 FORTY SECOND ST,43.58564323,-79.54407233
COOL_LOCN,Stephen Leacock Park,2530 BIRCHMOUNT RD,43.78716164,-79.302686
COOL_LOCN,Alexandra Park,275 BATHURST ST,43.651152,-79.404958
COOL_LOCN,McGregor Park,2231 LAWRENCE AVE,43.74724675,-79.28076178
COOL_LOCN,Northview Heights Secondary School,550 FINCH AVE,43.774503,-79.446065
COOL_LOCN,Greenwood Park,150 GREENWOOD AVE,43.66855,-79.328748
COOL_LOCN,Riverdale Park East,550 BROADVIEW AVE,43.669995,-79.35594
COOL_LOCN,Riverdale Park West,375 SUMACH ST,43.66659338,-79.3592231
COOL_LOCN,Sistering,962 Bloor St W  Toronto  ON  M6H 1L6,43.661416,-79.428785
COOL_LOCN,Jack Goodlad Park,929 KENNEDY RD,43.74239331,-79.27011936
COOL_LOCN,Brookbanks Park,75 BROOKBANKS DR,43.75621201,-79.33220715
COOL_LOCN,High Park,1873 BLOOR ST,43.64654,-79.463497
COOL_LOCN,June Rowlands Park,220 DAVISVILLE AVE,43.70063949,-79.38872884
COOL_LOCN,Kiwanis Outdoor Pool,375 CEDARVALE AVE,43.698312,-79.314255
COOL_LOCN,Trudelle Park,36 TRUDELLE ST,43.74147478,-79.24493732
COOL_LOCN,Humber Community Pool,205 HUMBER COLLEGE BLVD,43.730849,-79.608844
COOL_LOCN,Orchard Park,1987 DUNDAS ST,43.66866883,-79.31433941
COOL_LOCN,Sugar Beach Park,11 DOCKSIDE DR,43.64320851,-79.36770125
COOL_LOCN,Albert Crosland Park,14 FULLER AVE,43.640728,-79.440291
COOL_LOCN,Cassels Avenue Playground,69 CASSELS AVE,43.68001384,-79.30709619
COOL_LOCN,Maple Claire Park,20 VIELLA ST,43.67259108,-79.47308256
COOL_LOCN,Barbara Hall Park,519 CHURCH ST,43.66662152,-79.38071412
COOL_LOCN,Avonshire Park,125 HARRISON GARDEN BLVD,43.75792716,-79.40464628
COOL_LOCN,Matty Eckler Playground,953 GERRARD ST,43.66794638,-79.33854054
COOL_LOCN,Ramsden Park,1020 YONGE ST,43.67641,-79.389569
COOL_LOCN,Tall Pines Park,64 RYLANDER BLVD,43.79849589,-79.15149387
COOL_LOCN,Wells Hill Park,145 HILTON AVE,43.68284052,-79.4165921
COOL_LOCN,General Mercer School - Wading Pool,30 TURNBERRY AVE,43.68032,-79.46432
COOL_LOCN,Pam McConnell Aquatic Centre,640 DUNDAS ST,43.660828,-79.360937
COOL_LOCN,Joseph Bannon Park,65 MARY CHAPMAN BLVD,43.73235892,-79.5349725
COOL_LOCN,Moss Park,150 SHERBOURNE ST,43.65501197,-79.37127535
COOL_LOCN,Alex Duff Memorial Pool,779 CRAWFORD ST,43.66461445,-79.42099197
COOL_LOCN,Coleman Park,19 COLEMAN AVE,43.68934368,-79.30001523
COOL_LOCN,Regent Park,600 DUNDAS ST,43.661011,-79.362185
COOL_LOCN,Corktown Common,155 BAYVIEW AVE,43.65397335,-79.35261004
COOL_LOCN,George Webster Park,30 CHAPMAN AVE,43.70124076,-79.30117396
COOL_LOCN,Lionel Conacher Park,80 COTTINGHAM ST,43.68042937,-79.39460733
COOL_LOCN,Oriole Park - Toronto,201 ORIOLE PKWY,43.69719119,-79.40043637
COOL_LOCN,Pottery Playground,601 MERTON ST,43.69945324,-79.37869543
COOL_LOCN,Sunnyside Gus Ryder Outdoor Pool,1755 LAKE SHORE BLVD,43.63680116,-79.4593602
COOL_LOCN,Donald D. Summerville Olympic Pools,1867 LAKE SHORE BLVD,43.664903,-79.304898
COOL_LOCN,Diamond Jubilee Promenade,475 FRONT ST,43.653351,-79.355392
COOL_LOCN,Joel Weeks Park,10 THOMPSON ST,43.65948235,-79.35298346
COOL_LOCN,Wellesley Park,500 WELLESLEY ST,43.66954666,-79.36240104
COOL_LOCN,Woburn Avenue Playground,75 WOBURN AVE,43.72743454,-79.40597989
COOL_LOCN,Perth Square Park,350 PERTH AVE,43.66391378,-79.45267615
COOL_LOCN,St Stephen's Community House,260 Augusta Ave  Toronto  ON  M5T 2L9,43.65648,-79.402996
COOL_LOCN,Amesbury Sports Complex,155 CULFORD RD,43.706033,-79.486735
COOL_LOCN,Dovercourt Park,155 BARTLETT AVE,43.66515956,-79.43373286
