neighborhood_name,centroid_lat,centroid_lon,count_conditioned,count_libraries,count_ttc,count_washrooms,count_wifi,count_foodbanks,count_medical_mental_health_and_addiction_organization,count_medical_pharmacy,count_medical_licensed_lab_and_specimen_collection_centre,count_medical_integrated_community_health_services_centre,count_medical_community_support_service,count_medical_community_health_centre,count_medical_family_health_team,count_medical_long-term_care_home,count_medical_hiv_aids_and_hep_c_program,count_medical_hospital,count_medical_licensed_retirement_home,count_medical_seniors_active_living_centre,count_medical_midwifery_clinic,count_medical_children's_treatment_centre,count_medical_public_health_unit_office,count_medical_indigenous_primary_health_care_organization,count_medical_nurse_practitioner-led_clinic
11,43.663838705255934,-79.58539484917972,21,2,317,25,6,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
11,43.66988317679411,-79.58586533983338,20,3,336,23,7,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1,43.67445469329573,-79.58810515894886,21,3,327,22,7,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1,43.68352814054935,-79.58992184241323,16,3,322,22,7,1,0,3,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0
1,43.69330961655668,-79.59200095932142,21,3,319,11,5,1,0,4,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0
1,43.703091092564016,-79.59408007622957,24,3,368,11,7,1,0,5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1,43.71287256857137,-79.59615919313777,27,4,427,13,11,1,0,9,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0
1,43.7226540445787,-79.59823831004594,34,4,448,20,13,0,0,10,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1,43.73243552058604,-79.60031742695412,34,5,425,19,13,0,0,10,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1,43.74221699659337,-79.60239654386228,30,4,360,18,12,0,0,9,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2,43.756322362511234,-79.60107370487556,26,3,318,16,10,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,43.751765326781,-79.60465909555074,29,4,320,18,12,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,43.75792330175759,-79.60192229926379,23,3,301,14,8,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,43.75687326440824,-79.60671632581426,24,3,285,14,8,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,43.60338478116431,-79.55766782500817,15,3,263,12,9,1,0,9,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
159,43.60939033895861,-79.56216935915363,17,2,305,12,6,1,0,9,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0
20,43.60491419151288,-79.55848137333484,15,3,269,12,9,1,0,9,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
159,43.617294122296286,-79.56380826919506,20,3,344,15,6,1,0,11,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0
159,43.62421838281486,-79.56362429568229,19,2,404,22,7,1,0,10,0,0,4,0,1,0,0,1,0,2,0,0,0,0,0
12,43.6295401414276,-79.56815711979132,22,3,380,26,7,1,0,9,0,0,4,0,1,0,0,1,0,2,0,0,0,0,0
13,43.6393926737214,-79.56784130040046,20,2,426,25,8,1,0,11,1,0,4,0,1,0,0,1,0,1,0,0,0,0,0
12,43.63551931660331,-79.57057929565033,19,2,389,23,5,1,0,10,1,0,4,0,1,0,0,1,0,1,0,0,0,0,0
13,43.64684637264596,-79.5714181120257,20,2,411,22,6,0,0,9,2,0,3,0,1,0,0,0,0,1,0,0,0,0,0
12,43.64142352741023,-79.57514714037545,19,2,351,22,5,1,0,6,0,0,4,0,1,0,0,1,0,1,0,0,0,0,0
11,43.64423237008658,-79.57488834730172,19,2,370,22,5,0,0,6,1,0,3,0,1,0,0,1,0,1,0,0,0,0,0
13,43.652146577829335,-79.57292619810889,22,2,413,25,6,0,0,7,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0
11,43.657011754791135,-79.57408074132056,24,3,425,25,7,0,0,6,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0
11,43.66604430544286,-79.57598213258953,22,3,405,26,7,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
11,43.672955328578894,-79.57757381126015,23,3,392,25,7,1,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
7,43.67747484484425,-79.5748416574961,26,4,435,25,8,1,0,4,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1,43.67751177134138,-79.58032527533682,24,4,377,23,8,1,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0
7,43.68217288480284,-79.57471909847942,22,3,422,24,7,1,0,5,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0
1,43.6856402080284,-79.58019237994404,21,3,375,19,7,1,0,5,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0
1,43.69538873346488,-79.58221948331406,26,4,388,17,7,1,0,5,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0
1,43.70517020947221,-79.58429860022224,33,4,450,20,12,1,0,8,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0
1,43.714951685479534,-79.5863777171304,40,4,467,21,12,1,0,10,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0
2,43.729524457049074,-79.58632135801301,40,6,489,23,14,0,0,11,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0
1,43.72444276067046,-79.58858626541539,38,4,472,22,13,1,0,11,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0
2,43.73539991942774,-79.58825763122708,38,6,477,22,14,0,0,11,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1,43.73360020876167,-79.59288928149005,37,5,465,21,14,0,0,11,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2,43.74481555846396,-79.59150995146335,33,4,414,20,12,0,0,10,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1,43.74269376252331,-79.59602406018368,33,4,396,20,12,0,0,9,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2,43.75420149327897,-79.59458449977019,30,4,357,18,12,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,43.74978605878574,-79.59849323401653,31,4,361,18,12,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,43.7592957061712,-79.59563081367477,24,3,317,15,10,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19,43.58373935608815,-79.54379914585715,21,3,165,14,9,1,0,7,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
20,43.59303560462244,-79.54734998468469,24,3,219,15,10,2,0,9,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
19,43.58865484839959,-79.54579826853904,21,3,192,14,9,2,0,9,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
20,43.60023701082381,-79.55087031448086,22,3,258,15,10,2,0,10,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
159,43.6117851047126,-79.55532731076005,25,4,367,17,11,1,0,9,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0
20,43.60776464486323,-79.55258828467679,20,3,341,16,10,2,0,10,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
159,43.61921604231436,-79.55580507204128,29,3,421,16,10,1,0,14,1,0,4,0,1,0,0,1,0,2,0,0,0,0,0
159,43.627951812621774,-79.55677627468106,23,2,461,29,9,1,0,12,1,0,4,0,1,0,0,1,0,2,0,0,0,0,0
158,43.6339469832614,-79.55505112060618,28,4,507,31,13,1,0,14,1,0,4,0,1,1,0,1,0,2,0,0,0,0,0
12,43.63056274018773,-79.56049224454449,27,3,445,31,12,1,0,12,1,0,4,0,1,0,0,1,0,2,0,0,0,0,0
159,43.63546856003962,-79.55792875986471,28,4,483,30,12,1,0,13,1,0,4,0,1,0,0,1,0,2,0,0,0,0,0
158,43.639973906119565,-79.55779621012887,25,3,503,28,10,1,0,12,1,0,4,0,1,0,0,1,0,1,0,0,0,0,0
13,43.63927990196026,-79.56290333067828,24,2,459,27,9,1,0,12,1,0,4,0,1,0,0,1,0,1,0,0,0,0,0
12,43.6345969585812,-79.56174690890612,27,3,455,30,11,1,0,13,1,0,4,0,1,0,0,1,0,2,0,0,0,0,0
158,43.64908761761978,-79.56082609197527,28,3,497,30,11,1,0,10,2,0,4,0,1,0,0,0,0,1,0,0,0,0,0
13,43.64710555928512,-79.56539946009673,23,2,448,28,9,1,0,10,2,0,4,0,1,0,0,0,0,1,0,0,0,0,0
158,43.65446007503121,-79.56257660120528,28,4,496,30,11,0,0,10,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0
13,43.65329934585086,-79.56751486659014,26,3,451,28,9,0,0,9,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0
11,43.65918592095876,-79.5643234978795,26,3,505,29,9,0,0,8,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0
11,43.66808287938137,-79.56623179291154,25,3,509,28,7,1,0,7,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0
10,43.67313025061993,-79.56235549537773,30,3,512,31,7,1,0,6,2,0,7,0,0,0,0,0,0,1,0,0,0,0,0
11,43.673410750566575,-79.56836723216765,27,3,474,28,7,1,0,4,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0
10,43.67427301827391,-79.56273586556944,29,3,504,31,7,1,0,5,2,0,7,0,0,0,0,0,0,1,0,0,0,0,0
7,43.67847167918008,-79.56829245081244,24,4,469,25,8,1,0,4,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0
7,43.6866204310671,-79.56905813252789,21,3,468,19,6,1,0,9,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0
6,43.69275443646629,-79.56768857687514,32,5,500,23,8,1,0,13,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0
1,43.68934722926139,-79.57316958197153,26,3,434,18,7,1,0,7,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0
6,43.6939560760785,-79.56723860714878,31,5,510,26,7,1,0,14,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0
1,43.69751783130804,-79.57251200718812,25,3,478,19,6,1,0,10,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0
1,43.70724932638039,-79.57451712421489,34,4,523,21,11,1,0,11,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0
1,43.71703080238772,-79.57659624112308,44,5,527,25,14,1,0,11,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0
4,43.730113073128855,-79.57493055707404,49,6,542,26,16,1,0,13,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0
2,43.729838668518674,-79.58180883434822,44,6,526,24,16,0,0,12,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0
1,43.72604248183403,-79.57854468026963,47,6,527,26,16,1,0,13,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0
4,43.73343437293787,-79.57604381851306,44,6,542,25,16,0,0,12,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0
3,43.73853230289981,-79.57788390597283,44,6,530,23,16,0,0,12,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
2,43.73624032253394,-79.58253002582431,42,6,501,22,16,0,0,12,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1,43.73266773906607,-79.57872942965369,44,6,531,24,16,0,0,12,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0
3,43.7431830264507,-79.57985318380557,42,6,509,22,16,0,0,11,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
2,43.74668455782103,-79.58326604474553,40,5,482,22,15,0,0,10,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
21,43.751636483053154,-79.57946694340028,36,4,450,22,13,0,0,9,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
2,43.75643511397244,-79.58615367902868,29,3,387,18,11,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21,43.75546674760055,-79.58183729516057,33,4,410,20,12,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,43.761445592931096,-79.58585510330094,22,2,353,13,9,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19,43.5852846371978,-79.54174414047834,21,3,181,14,9,2,0,7,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
