location,type,lat,lon
Hinder Area,Washroom Building,43.76017753,-79.43601882
Hendon Park,Washroom Building,43.78126056,-79.4213229
Earl Bales Park,Washroom Building,43.75411961,-79.43275401
Alexandra Park,Washroom Building,43.6513412,-79.40455592
Stanley Park North - Toronto,Washroom Building,43.64276864,-79.40931248
Withrow Park,Washroom Building,43.67289284,-79.3456155
Esther Shiner Stadium,Washroom Building,43.77604296,-79.44546332
Etobicoke Valley Park,Washroom Building,43.60436945,-79.55681227
"Steve ""Whitey"" Breitner Clubhouse",Washroom Building,43.60975399,-79.5297144
Rosetta McClain Gardens,Washroom Building,43.69683674,-79.25627063
Corvette Park,Washroom Building,43.72657291,-79.26019879
Dunlop Park,Washroom Building,43.71281604,-79.26689423
Withrow Park,Washroom Building,43.67558828,-79.34754475
Morse Street Playground,Washroom Building,43.65656653,-79.3398727
West Deane Park,Washroom Building,43.66083807,-79.55755201
Kew Gardens,Washroom Building,43.66653551,-79.29819958
Sir Casimir Gzowski Park,Washroom Building,43.63513752,-79.46576904
George Webster Park,Washroom Building,43.70069836,-79.30043489
Eglinton Flats,Washroom Building,43.68561877,-79.50384395
Eglinton Flats,Washroom Building,43.68595398,-79.50571924
Humberline Park,Washroom Building,43.73151662,-79.61579573
Bellbury Park,Washroom Building,43.78447053,-79.36093863
Willowdale Park,Washroom Building,43.7662024,-79.40805249
Eglinton Park,Washroom Building,43.70826165,-79.40549905
Eglinton Park,Portable Toilet,43.70791158,-79.40507479
Memorial Park - North York,Washroom Building,43.70454982,-79.42066596
Woburn Avenue Playground,Washroom Building,43.72734116,-79.40586813
Lytton Park,Washroom Building,43.71529366,-79.41074681
Lawrence Park Ravine,Washroom Building,43.72079089,-79.39902069
Woodbine Beach Park,Washroom Building,43.66274627,-79.30791821
Wellesworth Park,Washroom Building,43.65711403,-79.57379257
Eringate Park,Washroom Building,43.66233095,-79.5815557
Millwood Park,Washroom Building,43.63146595,-79.57732151
High Park,Washroom Building,43.64957948,-79.46591328
High Park,Washroom Building,43.64174996,-79.46137056
High Park,Washroom Building,43.64441385,-79.45722165
Pantry Park,Washroom Building,43.6664395,-79.30189753
Bluffer's Park,Washroom Building,43.70614828,-79.23490537
Highview Park,Washroom Building,43.70223947,-79.25865299
Sunnyside Park,Washroom Building,43.63780962,-79.45704406
Sunnyside Park,Washroom Building,43.63787029,-79.45572655
Rowntree Mills Park,Washroom Building,43.75219004,-79.5778917
Kew Gardens,Washroom Building,43.66927847,-79.29995589
Ashbridges Bay Park,Washroom Building,43.65872285,-79.30887446
L'Amoreaux Sports Centre,Washroom Building,43.80330693,-79.30434051
Summerlea Park,Washroom Building,43.72988958,-79.54980698
Cherry Beach Sports Fields,Washroom Building,43.64128791,-79.34166941
Leaside Outdoor Pool,Washroom Building,43.70245262,-79.34983026
Toronto Islands - Ward's Island,Washroom Building,43.62074108,-79.36529069
Hillcrest Park,Washroom Building,43.67658129,-79.42408744
Toronto Islands - Toronto Island Park,Washroom Building,43.62027855,-79.37630671
Toronto Islands - Centre Island,Washroom Building,43.61669106,-79.3725951
Toronto Islands - Toronto Island Park,Washroom Building,43.62231261,-79.37907425
Wilket Creek Park,Washroom Building,43.72140939,-79.35300257
Dentonia Park,Washroom Building,43.69411639,-79.29279086
Jack Layton Ferry Terminal,Washroom Building,43.64027034,-79.37538416
Westway Park,Washroom Building,43.6884532,-79.54213303
West Mall Rink,Washroom Building,43.64152999,-79.56626931
Royal Crest Rink,Washroom Building,43.75271214,-79.60473602
High Park,Washroom Building,43.64951381,-79.46578969
Sunnydale Acres Park,Washroom Building,43.72445935,-79.57792068
Marie Curtis Park,Washroom Building,43.58573804,-79.54142374
Sir Adam Beck Rink,Washroom Building,43.6024034,-79.54745953
West Deane Park,Washroom Building,43.66358211,-79.55902437
Coronation Park - Toronto,Washroom Building,43.63438282,-79.40490539
Centennial Park - Etobicoke,Portable Toilet,43.64893291,-79.59188972
Valleyfield Park,Washroom Building,43.69466171,-79.53438656
Harbour Square Park,Washroom Building,43.64008423,-79.3758139
Tommy Thompson Park,Washroom Building,43.65169242,-79.32248376
Summerlea Park,Portable Toilet,43.72794607,-79.55230885
Lambton - Kingways Park,Portable Toilet,43.6582398,-79.5076909
Wedgewood Park,Washroom Building,43.64453464,-79.5475486
Prince of Wales Rink,Washroom Building,43.59878863,-79.49926631
Humber Valley Rink,Washroom Building,43.66419045,-79.52491635
Toronto Islands - Ward's Island,Washroom Building,43.62512425,-79.35931032
Dovercourt Park,Washroom Building,43.66558593,-79.4325708
Moorevale Park,Washroom Building,43.69358544,-79.3822504
Rosedale Park,Washroom Building,43.68336807,-79.37905467
Trinity Bellwoods Park,Washroom Building,43.64660568,-79.414749
Roundhouse Park,Portable Toilet,43.64193379,-79.38538105
Sherbourne Common,Washroom Building,43.64455126,-79.36452571
Alexandra Park,Washroom Building,43.65098867,-79.40441871
Centennial Park - Etobicoke,Washroom Building,43.64946299,-79.58819416
Tom Riley Park,Portable Toilet,43.646259,-79.51761532
Etienne Brule Park,Portable Toilet,43.65273608,-79.49275468
Central Arena,Washroom Building,43.64861641,-79.51988153
McCowan District Park,Washroom Building,43.73446713,-79.23745466
Edwards Gardens,Washroom Building,43.73410649,-79.35936175
Maryvale Park,Portable Toilet,43.75383629,-79.30621157
High Park,Washroom Building,43.64065803,-79.46007316
Christie Pits Park,Washroom Building,43.66482409,-79.42070512
Don Valley Brick Works,Washroom Building,43.68437785,-79.36642253
Dentonia Park Golf Course,Washroom Building,43.69551105,-79.28881695
Dufferin Grove Park,Washroom Building,43.65702326,-79.43358385
Christie Pits Park,Washroom Building,43.66514161,-79.42236977
Godstone Park,Portable Toilet,43.78405939,-79.34816208
Shawnee Park,Portable Toilet,43.79701661,-79.33858513
Ramsden Park,Washroom Building,43.67618904,-79.39223623
McGregor Park Community Centre,Washroom Building,43.74763938,-79.28032139
Weston Lions Park,Washroom Building,43.69808299,-79.51845586
Westmount Park Outdoor Pool,Washroom Building,43.68717127,-79.51884924
Westgrove Park Outdoor Pool,Washroom Building,43.68281327,-79.56829043
West Mall Outdoor Pool,Washroom Building,43.64236689,-79.56694687
West Deane Park Outdoor Pool,Washroom Building,43.66067088,-79.56187381
Sunnyside Park,Washroom Building,43.6377201,-79.45590091
Stanley Park South - Toronto,Washroom Building,43.64197334,-79.408071
Smithfield Park Outdoor Pool,Washroom Building,43.74862983,-79.59535516
Rotary Peace Park Outdoor Pool,Washroom Building,43.59530645,-79.50763635
Richmond Gardens Pool,Washroom Building,43.68184235,-79.54544036
Park Lawn Park,Washroom Building,43.63892377,-79.49567684
Ourland Park Outdoor Pool,Washroom Building,43.6165097,-79.5086496
Lambton - Kingsway Park Outdoor Pool,Washroom Building,43.65834712,-79.50788938
Gihon Spring Park Outdoor Pool,Washroom Building,43.75542938,-79.59487728
Flagstaff Park Outdoor Pool,Washroom Building,43.72122791,-79.59144598
Fairhaven Park Outdoor Pool Building,Washroom Building,43.70325233,-79.5471375
Eringate Park Outdoor Pool,Washroom Building,43.66272106,-79.58170627
Amos Waites Park,Washroom Building,43.61304005,-79.48791123
Sorauren Avenue Park,Washroom Building,43.64804605,-79.44306484
Smythe Park,Washroom Building,43.67482715,-79.49762667
Humber Bay Park West,Portable Toilet,43.61954425,-79.48039097
Marie Curtis Park,Portable Toilet,43.58759228,-79.5430909
Riverdale Farm,Washroom Building,43.66735115,-79.36005484
Trinity Community Recreation Centre,Washroom Building,43.64625046,-79.41487796
Toronto Islands - Centre Island,Washroom Building,43.61780812,-79.37587345
King's Mill Park,Portable Toilet,43.64188167,-79.49100901
L'Amoreaux North Park,Washroom Building,43.81010927,-79.30441085
Centennial Park - Etobicoke,Washroom Building,43.64877852,-79.59209294
Ramsden Park,Washroom Building,43.67620586,-79.39496524
Fred Hamilton Playground,Washroom Building,43.65272186,-79.42039563
G. Ross Lord Park,Washroom Building,43.77923851,-79.46222308
Seven Oaks Park,Washroom Building,43.78794079,-79.21006559
Scarborough Village Park,Washroom Building,43.74729181,-79.21296882
High Park,Washroom Building,43.65271761,-79.46627947
Neilson Park - Scarborough,Washroom Building,43.81359515,-79.22435637
Major Abbas Ali Park,Washroom Building,43.80375024,-79.23084525
