count,lat,lon,metadata,start_timestamp
1,43.71337581,-79.46549418,Caledonia Park,May-21
24,43.63692099,-79.3443083,Cherry Beach Clarke Beach Park,May-21
3,43.64418139,-79.39371522,Clarence Square Park,May-21
5,43.65699352,-79.4336308,Dufferin Grove Park,May-21
2,43.78030615,-79.46585598,G. Ross Lord Park,May-21
4,43.63806493,-79.40717673,Garrison Common,May-21
7,43.65261301,-79.39221132,Grange Park,May-21
2,43.65135346,-79.49062927,Kings Mill Park,May-21
6,43.63395209,-79.43869438,Lakeshore Boulevard Parklands,May-21
24,43.63977468,-79.42245532,Lamport Stadium Park,May-21
8,43.69741478,-79.35386848,Lower Don Parklands,May-21
2,43.78090037,-79.19730417,Morningside Park,May-21
31,43.65558614,-79.37043073,Moss Park,May-21
6,43.68179447,-79.4101068,Nordheimer Ravine,May-21
0,43.65465987,-79.3627258,Orphan's Green,May-21
2,43.64235304,-79.42916125,Parkdale Ampitheatre,May-21
0,43.6497993,-79.40084238,Randy Padmore Park,May-21
14,43.67272549,-79.37625428,Rosedale Ravine Lands,May-21
2,43.65602246,-79.40202754,Sonya's Park,May-21
1,43.6512055,-79.32159,Tommy Thompson Park,May-21
64,43.64592207,-79.41417386,Trinity Bellwoods Park,May-21
7,43.65472242,-79.38160967,Trinity Square,May-21
86,43.65114655,-79.40510438,Alexandra Park,Jun-21
12,43.66093307,-79.3735941,Allan Gardens,Jun-21
0,43.65371478,-79.40192832,Bellevue Square Park,Jun-21
1,43.71337581,-79.46549418,Caledonia Park,Jun-21
19,43.63692099,-79.3443083,Cherry Beach Clarke Beach Park,Jun-21
3,43.64418139,-79.39371522,Clarence Square Park,Jun-21
9,43.65699352,-79.4336308,Dufferin Grove Park,Jun-21
2,43.78030615,-79.46585598,G. Ross Lord Park,Jun-21
3,43.63806493,-79.40717673,Garrison Common,Jun-21
8,43.65261301,-79.39221132,Grange Park,Jun-21
2,43.65135346,-79.49062927,Kings Mill Park,Jun-21
6,43.63395209,-79.43869438,Lakeshore Boulevard Parklands,Jun-21
20,43.63977468,-79.42245532,Lamport Stadium Park,Jun-21
10,43.69741478,-79.35386848,Lower Don Parklands,Jun-21
2,43.78090037,-79.19730417,Morningside Park,Jun-21
32,43.65558614,-79.37043073,Moss Park,Jun-21
6,43.68179447,-79.4101068,Nordheimer Ravine,Jun-21
2,43.65465987,-79.3627258,Orphan's Green,Jun-21
2,43.64235304,-79.42916125,Parkdale Ampitheatre,Jun-21
2,43.6497993,-79.40084238,Randy Padmore Park,Jun-21
9,43.67272549,-79.37625428,Rosedale Ravine Lands,Jun-21
2,43.65602246,-79.40202754,Sonya's Park,Jun-21
1,43.6512055,-79.32159,Tommy Thompson Park,Jun-21
48,43.64592207,-79.41417386,Trinity Bellwoods Park,Jun-21
6,43.65472242,-79.38160967,Trinity Square,Jun-21
38,43.65114655,-79.40510438,Alexandra Park,Jul-21
16,43.66093307,-79.3735941,Allan Gardens,Jul-21
0,43.65371478,-79.40192832,Bellevue Square Park,Jul-21
1,43.71337581,-79.46549418,Caledonia Park,Jul-21
10,43.63692099,-79.3443083,Cherry Beach Clarke Beach Park,Jul-21
7,43.64418139,-79.39371522,Clarence Square Park,Jul-21
15,43.65699352,-79.4336308,Dufferin Grove Park,Jul-21
2,43.78030615,-79.46585598,G. Ross Lord Park,Jul-21
3,43.63806493,-79.40717673,Garrison Common,Jul-21
5,43.65261301,-79.39221132,Grange Park,Jul-21
1,43.65135346,-79.49062927,Kings Mill Park,Jul-21
6,43.63395209,-79.43869438,Lakeshore Boulevard Parklands,Jul-21
17,43.63977468,-79.42245532,Lamport Stadium Park,Jul-21
10,43.69741478,-79.35386848,Lower Don Parklands,Jul-21
2,43.78090037,-79.19730417,Morningside Park,Jul-21
30,43.65558614,-79.37043073,Moss Park,Jul-21
6,43.68179447,-79.4101068,Nordheimer Ravine,Jul-21
4,43.65465987,-79.3627258,Orphan's Green,Jul-21
2,43.64235304,-79.42916125,Parkdale Ampitheatre,Jul-21
3,43.6497993,-79.40084238,Randy Padmore Park,Jul-21
9,43.67272549,-79.37625428,Rosedale Ravine Lands,Jul-21
1,43.65602246,-79.40202754,Sonya's Park,Jul-21
1,43.6512055,-79.32159,Tommy Thompson Park,Jul-21
0,43.64592207,-79.41417386,Trinity Bellwoods Park,Jul-21
6,43.65472242,-79.38160967,Trinity Square,Jul-21
0,43.65114655,-79.40510438,Alexandra Park,Aug-21
11,43.66093307,-79.3735941,Allan Gardens,Aug-21
3,43.65371478,-79.40192832,Bellevue Square Park,Aug-21
5,43.71337581,-79.46549418,Caledonia Park,Aug-21
9,43.63692099,-79.3443083,Cherry Beach Clarke Beach Park,Aug-21
4,43.64418139,-79.39371522,Clarence Square Park,Aug-21
22,43.65699352,-79.4336308,Dufferin Grove Park,Aug-21
2,43.78030615,-79.46585598,G. Ross Lord Park,Aug-21
10,43.63806493,-79.40717673,Garrison Common,Aug-21
7,43.65261301,-79.39221132,Grange Park,Aug-21
